City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,altai,46.3722,96.2583,-7.52,89,92,3.77,MN,1712964880
83,bundaberg,-24.85,152.35,26.79,71,1,1.34,AU,1712965275
84,nanao,37.05,136.9667,19.62,59,48,3.34,JP,1712965275
85,vila velha,-20.3297,-40.2925,26.97,86,40,4.63,BR,1712965275
86,jinchang,38.4953,102.1739,14.37,37,100,4.35,CN,1712964880
87,bikenibeu village,1.3673,173.1241,30.98,74,40,2.06,KI,1712965275
88,yelwa,8.8333,9.6333,30.07,45,75,2.76,NG,1712965275
89,howard springs,-12.497,131.047,27.71,74,58,5.16,AU,1712964879
90,baotou,40.6522,109.8222,16.22,41,100,4.5,CN,1712965275
91,ambon,-3.6954,128.1814,29.37,95,40,2.57,ID,1712964882
92,villa emilio carranza,19.9667,-96.6,23.76,65,5,5.01,MX,1712965275
93,alofi,-19.0595,-169.9187,28.94,79,100,4.12,NU,1712964887
94,ushuaia,-54.8,-68.3,7.81,71,0,5.66,AR,1712965275
95,chonchi,-42.6128,-73.8092,12.56,81,0,0.85,CL,1712964749
96,lebu,-37.6167,-73.65,10.86,91,11,3.64,CL,1712964744
97,twon-brass,4.3151,6.2418,27.98,77,88,2.86,NG,1712965275
98,dudinka,69.4058,86.1778,-12.43,79,100,10.17,RU,1712964866
99,longyearbyen,78.2186,15.6401,-9.09,53,20,10.8,SJ,1712964864
100,morehead city,34.7229,-76.726,18.37,80,0,12.35,US,1712965081
101,kalmunai,7.4167,81.8167,26.46,84,89,0.5,LK,1712964895
102,hithadhoo,-0.6,73.0833,26.85,85,100,3.85,MV,1712964886
103,smithers,54.7804,-127.1743,8.18,36,75,5.14,CA,1712964890
104,villa mercedes,-33.6757,-65.4578,10.31,98,100,5.91,AR,1712965228
105,bemidji,47.4736,-94.8803,13.05,35,0,4.63,US,1712965276
106,trairi,-3.2778,-39.2689,26.07,86,78,1.84,BR,1712964779
107,salinopolis,-0.6136,-47.3561,26.55,87,100,4.46,BR,1712964884
108,urangan,-25.3,152.9,24.55,80,1,4.02,AU,1712965132
109,ginir,7.1333,40.7,16.68,74,48,2.37,ET,1712965276
110,zimovniki,47.1483,42.4633,15.23,72,100,1.89,RU,1712965276
111,korhogo,9.45,-5.6333,25.78,75,80,4.08,CI,1712965276
112,labytnangi,66.6572,66.4183,-4.23,93,100,4.12,RU,1712964705
113,port mathurin,-19.6833,63.4167,26.79,69,85,6.35,MU,1712964865
114,mesquite,32.7668,-96.5992,26.31,39,0,3.6,US,1712965164
115,malanje,-9.5402,16.341,19.08,98,100,0.92,AO,1712965276
116,caxito,-8.5785,13.6643,25.29,87,100,0.51,AO,1712965276
117,luganville,-15.5333,167.1667,29.21,77,65,3.56,VU,1712965277
118,ekibastuz,51.6667,75.3667,6.7,49,100,9.95,KZ,1712965277
119,geraldton,-28.7667,114.6,16.23,82,1,3.09,AU,1712964862
120,elkhorn,42.6728,-88.5445,16.57,44,40,8.75,US,1712965089
121,bulayevo,54.9056,70.4439,5.26,94,98,5.4,KZ,1712965277
122,mandalgovi,45.7625,106.2708,10.54,32,100,6.1,MN,1712965277
123,am timan,11.0297,20.2827,31.19,12,31,3.02,TD,1712965277
124,ketchikan,55.3422,-131.6461,7.26,61,100,4.12,US,1712964796
125,namibe,-15.1961,12.1522,22.48,70,27,3.1,AO,1712964865
126,tarfaya,27.9358,-12.9218,18.96,88,1,6.08,MA,1712965277
127,bredasdorp,-34.5322,20.0403,13.44,78,33,3.01,ZA,1712964855
128,colonia,50.9333,6.95,15.54,81,0,1.54,DE,1712964679
129,bakanas,44.8081,76.2772,4.3,39,100,5.98,KZ,1712965277
130,maintirano,-18.0667,44.0167,27.12,71,88,7.72,MG,1712965277
131,carterton,51.759,-1.5944,12.24,90,75,4.12,GB,1712965277
132,sakata,38.9167,139.855,14.1,67,0,1.54,JP,1712965277
133,valparaiso,-33.0393,-71.6273,16.11,62,75,2.06,CL,1712965029
134,uturoa,-16.7333,-151.4333,28.24,80,95,11.01,PF,1712964895
135,keflavik,64.0049,-22.5624,-0.05,80,20,7.2,IS,1712964866
136,levuka,50.1834,-105.4011,19.85,22,75,6.69,CA,1712965278
137,tucurui,-3.7661,-49.6725,24.77,94,100,0.76,BR,1712965278
138,gadzhiyevo,69.2551,33.3362,-5.35,92,95,3.66,RU,1712964870
139,infantes,38.7367,-3.0122,12.79,38,1,4.73,ES,1712965278
140,tommot,58.9564,126.2925,-8.76,85,74,1.3,RU,1712965278
141,ocean city,39.2776,-74.5746,18.14,55,11,0.89,US,1712965278
142,shenjiamen,29.9576,122.298,14.67,98,94,1.72,CN,1712965278
143,quellon,-43.1167,-73.6167,9.68,80,0,3.34,CL,1712964738
144,codrington,-38.2667,141.9667,15.96,61,56,2.87,AU,1712964873
145,yantzaza,-3.8278,-78.7594,24.23,96,70,0.02,EC,1712965278
146,afaahiti,-17.75,-149.2833,30.93,80,100,10.55,PF,1712964870
147,atafu village,-8.5421,-172.5159,29.88,74,100,3.51,TK,1712964859
148,tarko-sale,64.9225,77.785,-4.46,95,100,10.44,RU,1712965278
149,avarua,-21.2078,-159.775,29.03,84,75,6.17,CK,1712964888
150,lihue,21.9789,-159.3672,28.58,73,40,4.12,US,1712964868
151,boguchany,58.3814,97.4531,-8.97,96,50,1.34,RU,1712965278
152,kodiak,57.79,-152.4072,4.73,60,20,9.26,US,1712964864
153,la sebala du mornag,36.6793,10.292,14.81,94,20,2.57,TN,1712965279
